date,Mnth_Hsng_Inv_Medn_Lstn_Pric_in_Cal,Mnth_30_Yr_Fixd_Rate_Mrtg_Avrg,monthly_rate,r,payment,Real_Medn_Hshl_Incm_in_Cal,mo_payment_ovr_Mo_HHInc,id,rows,25,breakpoints,975
2016-07-01,515000,3.46,0.00288333333333333,1.8193501645812,2301.09636399749,77410,0.356713039245186,1,0,,,
2016-08-01,5e+05,3.46,0.00288333333333333,1.8193501645812,2234.07413980339,77410,0.346323339072996,2,0,,,
2016-09-01,499444,3.46,0.00288333333333333,1.8193501645812,2231.58984935993,77410,0.345938227519947,3,0,,,
2016-10-01,499000,4.08,0.0034,2.39371063200043,2405.37405870155,77410,0.37287803519466,4,0,,,
2016-11-01,497000,4.08,0.0034,2.39371063200043,2395.73328091117,77410,0.371383534051595,5,0,,,
2016-12-01,485000,4.08,0.0034,2.39371063200043,2337.88861416884,77410,0.362416527193207,6,0,,,
2017-01-01,487000,3.94,0.00328333333333333,2.25458179626975,2308.1983797685,77410,0.357813984720605,7,0,,,
2017-02-01,499000,3.94,0.00328333333333333,2.25458179626975,2365.07390452666,76055,0.37316266983525,8,0,,,
2017-03-01,515700,3.94,0.00328333333333333,2.25458179626975,2444.22567648176,76055,0.385651280228533,9,0,,,
2017-04-01,529900,3.94,0.00328333333333333,2.25458179626975,2511.52838077891,76055,0.396270338167733,10,0,,,
2017-05-01,549000,3.94,0.00328333333333333,2.25458179626975,2602.05525768564,76055,0.410553718916938,11,0,,,
2017-06-01,549900,3.94,0.00328333333333333,2.25458179626975,2606.3209220425,76055,0.411226757800408,12,1,2017-04-01,2017-06-01,2017-10-01
2017-07-01,549000,4.22,0.00351666666666667,2.53876980884716,2691.11673994311,76055,0.424605888887218,13,1,,,
2017-08-01,534950,4.22,0.00351666666666667,2.53876980884716,2622.24571954931,76055,0.413739381166152,14,1,,,
2017-09-01,530000,4.22,0.00351666666666667,2.53876980884716,2597.98155222195,76055,0.40991096741389,15,1,,,
2017-10-01,527175,4.22,0.00351666666666667,2.53876980884716,2584.13382036341,76055,0.407726064615882,16,1,,,
2017-11-01,523350,4.22,0.00351666666666667,2.53876980884716,2565.38423651954,76055,0.404767744898225,17,1,,,
2017-12-01,510000,4.22,0.00351666666666667,2.53876980884716,2499.94451251546,76055,0.394442629020913,18,1,,,
2018-01-01,508000,4.22,0.00351666666666667,2.53876980884716,2490.14080854481,76055,0.392895795181615,19,1,,,
2018-02-01,524950,4.22,0.00351666666666667,2.53876980884716,2573.22719969606,82772,0.373057632971932,20,1,,,
